Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Armenia,ARM,"Population, total",SP.POP.TOTL,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,2777970
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.900783081509756,-0.676510249442033,-0.596992234773189,-0.605237484238947,-0.683602136047238,-0.732665962263764,-0.700492224911231,-0.6431061166878,-0.609179750926293,-0.589489609644367,-0.498170160314836,-0.44829630947071,-0.395592881362063,-0.392995248824912,-0.444257166904663,-0.486625263030829,-0.54025108197947,-0.564065542556681,-0.533006606500067,-0.522963242641951,-0.377102034390101,-0.0899173371650819
Armenia,ARM,Surface area (sq. km),AG.SRF.TOTL.K2,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,29740,..,..
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,109.063470319635,108.32813487882,107.68335089568,107.033579206182,106.304390586582,105.528380751668,104.791745697225,104.119985950123,103.487636108184,102.879381805409,102.368141903758,101.910256410256,101.507903055848,101.109764664559,100.661573586231,100.17291886196,99.6331928345627,99.0727783631893,98.5461187214612,98.0321039690903,..,..
Armenia,ARM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.4,27,26.5,24.8,..
Armenia,ARM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,10,7.5,5.3,2.6,2,1.5,0.9,1.2,1,1.2,0.8,1.7,1.4,1.1,1.1,0.8,1.3,1,0.4,0.5,0.8,..
Armenia,ARM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2436136799.15933,2892531561.71732,3546208611.80142,4583264446.29795,5964254728.92669,8093596689.25377,10461447033.5372,9633680634.65683,9988482236.50203,10160338859.1327,11192556124.9892,11911914266.9672,12047457701.7916,11738591314.7376,11045672826.7053,11621380668.6106,12521390580.5486,13769456393.8977,12535906961.6516,13548071334.3556,16574298011.8445,20363784078.4837
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,780,940,1160,1500,1970,2690,3510,3250,3390,3470,3840,4110,4170,4080,3850,4070,4410,4880,4470,4850,5960,7330
Armenia,ARM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,10866154859.7533,12612732340.3183,14428108003.3914,16957992011.7607,19888484243.0828,23374969796.702,25596039723.8938,21751101568.5319,22672636925.8102,23905121367.1988,28120737961.2501,30326204334.4994,30662966874.8916,30505448341.392,32364395080.3965,37214214838.3669,38848121649.4888,44951068638.4951,42876665493.623,45783936975.8928,54374731968.6476,62338776602.3953
Armenia,ARM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3500,4090,4710,5570,6570,7780,8580,7340,7700,8160,9650,10450,10610,10600,11290,13050,13700,15940,15280,16400,19560,22440
Armenia,ARM,Income share held by lowest 20%,SI.DST.FRST.20,8,8.7,7.6,8.1,8.9,8.4,9.1,9.4,9.1,9,9,8.6,8.5,8.2,7.9,8.4,8.1,8.9,10.2,9.4,9.2,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.018,71.436,71.421,71.792,71.987,72.327,72.398,72.813,73.16,73.305,73.454,73.676,74.058,74.436,74.664,74.906,75.064,75.439,72.173,72.043,73.372,..
Armenia,ARM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.525,1.534,1.541,1.54,1.349,1.418,1.441,1.551,1.501,1.5,1.6,1.6,1.703,1.602,1.626,1.562,1.572,1.575,1.575,1.575,1.575,..
Armenia,ARM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,32.756,31.669,31.569,29.062,24.607,24.544,25.22,28.266,29.07,28.694,29.083,25.412,27.222,24.66,24.621,21.379,19.533,19.041,18.571,18.511,18.305,..
Armenia,ARM,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,53.1,..,..,..,..,54.9,..,..,..,..,..,57.1,..,..,..,..,..,..,..
Armenia,ARM,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.8,99.2,99.5,97.8,99.7,99.9,99.9,100,99.5,100,100,100,100,..,99.8,..,..,..,..,..,..,..
Armenia,ARM,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,27.7,26.4,25.1,23.8,22.7,21.6,20.5,19.5,18.6,17.7,16.8,16,15.2,14.5,13.8,13.1,12.5,11.9,11.3,10.8,10.3,..
Armenia,ARM,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,4.2,..,..,..,..,5.3,..,..,..,..,..,2.6,..,..,..,..,..,..,..
Armenia,ARM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,91,94,92,94,92,92,94,96,97,97,97,97,97,97,97,96,95,95,94,94,95,..
Armenia,ARM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,83.7433776855469,86.7742309570312,100.005928039551,93.4663162231445,92.0257110595703,96.7462768554688,98.6576766967773,..,91.5400009155273,93.4741592407227,93.5642013549805,..,94.6037063598633,94.2263793945312,105.009422302246,102.763427734375,100.23706817627,97.2270965576172,101.986747741699,100.631843566895,92.1473693847656,92.5063171386719
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,90.6743011474609,93.5719833374023,94.7377319335938,93.726318359375,95.9769287109375,106.073532104492,107.106376647949,105.322792053223,96.6795196533203,96.5201721191406,96.4941024780273,99.3458786010742,100.915573120117,102.382690429688,103.061706542969,101.619812011719,100.061309814453,97.3231430053711,96.6205673217773,93.8099975585938,92.9023818969727,93.8079528808594
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,84.5256576538086,86.7430114746094,89.1132202148438,89.9713287353516,89.1584701538086,94.7720184326172,100.519088745117,90.0805282592773,..,84.4040374755859,84.9311065673828,85.793701171875,..,..,88.5765686035156,93.6171493530273,94.89111328125,97.3015594482422,96.8645629882812,95.1246490478516
Armenia,ARM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,1.00601005554199,0.995670020580292,0.98989999294281,0.995220005512238,1.00771999359131,..,1.02907001972198,1.04033994674683,1.03798997402191,..,..,1.02283000946045,1.03489995002747,1.03190994262695,1.02129995822906,..,..
Armenia,ARM,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,..
Armenia,ARM,Forest area (sq. km),AG.LND.FRST.K2,3322.24,3320.16,3318.08,3316,3313.92,3311.84,3309.76,3307.68,3305.6,3303.52,3301.44,3299.36,3297.28,3295.2,3293.1,3291,3288.9,3286.8,3284.7,3282.6,..,..
Armenia,ARM,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.1090030789546,23.1105028060216,23.1105028060216,24.3054045231928,24.3054045231928,24.3054045231928,24.6810162414224,..
Armenia,ARM,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,25.2514943869369,28.808864265928,36.4922000291588,40.399475142149,41.215920688147,43.9131068668902,41.8865723866453,35.9236040239102,30.9957719784225,35.5445400204111,42.8779705496428,43.0820819361423,41.6970403848958,47.7037469018807,46.391602274384,41.7699373086456,39.5684502114011,41.7699373086456,41.2596588423969,43.2570345531419,..,..
Armenia,ARM,Urban population growth (annual %),SP.URB.GROW,-1.13246570248286,-0.83079527809499,-0.751432255097974,-0.761535435957295,-0.838572638294868,-0.889415093262459,-0.855937609056045,-0.80033995301265,-0.766716914319411,-0.74724976842942,-0.656142903197955,-0.568544597024387,-0.477941161241734,-0.435787280070284,-0.449033644936831,-0.453337251352094,-0.467403784898344,-0.453277999510481,-0.384383433550361,-0.336768058503091,-0.153477828560035,0.170817597419753
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,604.301333607297,642.396717099499,683.277637246412,824.451980575247,845.399582221758,949.558196946937,1006.92091394409,880.468752108426,842.822149731883,927.139041084666,1019.27381116181,999.64706510856,1023.8099192714,..,..,..,..,..,..,..,..,..
Armenia,ARM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1208.03713450113,1292.11031282364,1409.77152372425,1488.55720870583,1602.84898063298,1730.7988668593,1626.99129623342,1618.59679330269,1685.84726637846,1774.68166348922,1872.41307964772,1928.7340356416,1976.86449152748,..,..,..,..,..,..,..,..,..
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429,24212134631.064
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.1999999979356,14.0000000015501,10.4999999988202,13.8999999991133,13.1999999994661,13.7000000015467,6.90000000042959,-14.1000000006998,2.2000000002151,4.69999999867412,7.20000000096486,3.3,3.60000000058993,3.19999999896625,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.19999999920631,5.80000000065645,12.5999999997766,8.7
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.35739901911141,4.5985157283794,6.27859410767147,3.20875666635281,4.61801250818827,4.2778755387818,5.98956236068734,2.49725307891563,7.76871548067652,4.28154999826118,5.34580441814725,3.36682464224465,2.30918242990974,1.21390990471085,0.268575076501392,2.15064189848613,2.78770951425761,1.06562263923419,1.80659270159933,6.90051365787157,7.98570196971615,2.83212316008338
Armenia,ARM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,17.9126819526397,18.4347628834968,18.0720363470662,17.2231200318056,16.39047353385,14.9942601242776,13.9423116554146,11.5256107379588,11.3498051554549,11.3435484176857,10.3731363956122,8.39558968573676
Armenia,ARM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,27.8270946139077,26.7090481417071,25.2705329463993,25.7086994351611,25.5771330395605,25.8095323791656,24.7565578476257,24.9716084573435,26.8172956979296,26.3643404113901,25.2816609618458,23.9333893351993
Armenia,ARM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.832108365994,30.4829978923981,28.1907438231723,27.3131979500115,22.1459814355134,18.1893569819725,14.2657295739767,14.6709007461363,19.7484153168252,22.5231882640131,27.5618114828439,28.3534851384818,28.5603816555446,29.7253912120334,33.7442798606396,38.2160456550464,39.3928940286073,41.3508013620849,29.7649869151934,35.9064399901267,50.0136476951451,58.1814554745072
Armenia,ARM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,46.152393477237,49.5683697098445,44.8798901687648,42.8265406335218,38.8841565463432,38.7856901033422,40.2765983873899,42.6033349980631,44.8945606568078,46.9123853980322,48.3998644778265,49.2015630214006,47.2184853070945,41.9566831307241,42.3336875987152,48.9863308847905,53.0802129926047,54.7633527667858,39.7238206244142,43.7634488327132,50.9928446789957,58.8615049918137
Armenia,ARM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,25.4182967616869,28.3479499830947,29.1225577000264,35.765438994108,42.2254576837845,44.3516229755633,47.9428358213473,41.1450508029059,38.8147549853077,31.9217989798477,24.6809527475996,22.1524900726313,21.2830406859193,20.7305301265762,18.0155086734171,18.4217402148728,22.3997393267701,17.4085294108567,19.663832943599,22.9638762261581,21.6343098762556,21.3293341381225
Armenia,ARM,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,15.5274025923383,16.456000287104,16.7447203815782,18.6067723325281,..,..,..,..,..,24.1168167453311,24.5145567085198,23.0924926716717,22.8347288893173,22.5254651052115,22.4536343721739,23.9412409977605,24.1447323127042,23.3878288710777,23.4564559359252,..
Armenia,ARM,Time required to start a business (days),IC.REG.DURS,..,18,18,18,17,17,17,14,14,8,8,5,5,5,5,5,4,4,..,..,..,..
Armenia,ARM,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,21.5298790880604,27.8156975797733,36.3814480131175,41.3884619477093,43.1497137322292,51.3010287372558,48.2599761094213,54.3707768513385,58.2780692643235,62.361391610247,65.4382865905868,83.4040608437763,74.528459030572,64.9920683595577,68.4373966358845
Armenia,ARM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,13.9964056466186,14.3356634088462,14.3975640069094,15.9940944649345,..,..,..,..,..,21.5862138752919,21.5991745525223,20.931220827141,21.2773752756378,20.7806533587524,20.8701039031814,22.2851709900772,21.8604192761626,22.0010047423132,21.8271909256219,..
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.69771474886414,2.72837221377968,2.74199670493715,2.87193136291811,2.94761315625864,3.04257470127966,3.39557936270657,4.15704990783508,4.26564605593771,3.85394644115574,3.58376691873744,3.99724455730484,3.94337826474581,4.23922578573229,4.09034921699325,3.84973057654684,4.11988615256896,4.78770584078564,4.98254372367497,4.47078156298276,4.31710667230517,..
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2.297846274,3.708664629,6.631634399,10.43709632,41.62457715,62.45557755,48.33377522,73.92986395,131.1938086,109.6360981,114.013624,115.3337511,119.696221,120.3535058,119.8452458,122.3218158,126.1831509,128.2969735,124.3508359,128.961359,135.2539805,..
Armenia,ARM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,1.13989598746533,1.57333128290795,2.84280207545875,2.32444864074289,3.37333605951397,2.85090173545628,3.02784829241324,3.02163379158599,5.65181437686726,6.13769143045383,7.56330477959628,7.10147421496599,9.79110110537429,7.14063667161287,5.95671993684786,21.8475283435373,21.1051280159346
Armenia,ARM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,62.7857591464102,70.0376655125462,57.9877862332958,56.6476333280113,49.7615138605683,48.0105948140456,47.0157850973408,46.6122725237781,51.7694607543656,54.0222795288,53.1201587033561,53.5630899484731,50.9926632939062,44.7630902712751,48.0270677989147,55.8145568976783,59.1991901447577,59.8709600659714,56.1870697457608,60.3793873426584,72.4063768995248,85.589314266461
Armenia,ARM,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,84.3154017822,82.5216045209,87.3492036875,82.7694633003,93.3270826995,93.7098967491,96.1902495832,95.7834875625,109.2163080213,107.0481502937,101.5165870949,98.1111009508,96.7656593165,100,104.363566838,111.4233771351,110.8858328447,113.9241657052,119.6303082494,108.2994509607,..,..
Armenia,ARM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1719549290.3,1996130970.2,2107914571.2,1969824792.5,2138883502.7,3081934925.4,3612490093,4934959249.6,6307170668.6,7410792665.3,7640566516.3,8681090391.3,8555656187,8831021220.8,9855623087.1,10228295738.5,10725730268.9,11884488146.3,12599980395.5,13801512363.2,14715170887.6,..
Armenia,ARM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,9.34720789387768,10.8245440530296,11.4108499984776,7.31949641201404,6.7329552908316,6.66834101867827,11.9873180212173,17.4053324506715,29.7387367053874,24.5841466412015,29.1667510097088,46.3472758098627,31.6996262271868,38.4142387162148,33.0971857565039,26.4117195018642,28.5621462576129,30.7771673115206,45.9519126164405,37.3408100034774,15.2900297411325,..
Armenia,ARM,Net migration,SM.POP.NETM,-34971,-30238,-30623,-31023,-31302,-31530,-31822,-32000,-31991,-29214,-28731,-28257,-27763,-27283,-26804,-26326,-25835,-25363,-12825,-12825,-5000,-5000
Armenia,ARM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,263890000,335860000,787519510.008093,915231161.780943,1169173062.59984,1644375090.62217,1904067122.6008,1439809231.68406,1669336819.11366,1798624692.26173,1914983996.61627,2192193826.94676,2078618314.80089,1491475903.47047,1382330886.59828,1538655751.77642,1487814907.95282,1527937456.87278,1327006085.34023,1556822543.94877,2031342937.0743,1451764406.31499
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,110725325.614409,122852992.703235,247140608.495888,292073220.164722,466531991.901724,667671562.134495,943733059.483284,760040745.87233,529321391.641959,653219756.47225,496636701.129687,346092394.393256,406578406.693112,184127986.314895,333823945.510433,252747990.684352,266855048.832037,100287214.397978,58582750.1214803,366445214.820501,998055425.363603,580365078.650983
Armenia,ARM,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,295220001.220703,250399993.896484,256119995.117188,172619995.117188,215389999.389648,266109985.351563,227240005.493164,277100006.103516,320320007.324219,375989990.234375,270559997.558594,280359985.351563,267429992.675781,347480010.986328,326429992.675781,257540008.544922,141820007.324219,417299987.792969,126580001.831055,161949996.948242,300350006.103516,..
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,
